datetime,PM2.5,Factor1,Factor2,Factor3
2013-03-01,7.541666666666667,-0.9143678910523829,-1.5457881924808197,0.9519625255032779
2013-03-02,26.375,-0.431125316792478,-1.374094020922848,-0.20194566865593164
2013-03-03,81.5,1.0849727983924062,-0.8670642540298252,0.0864575496825295
2013-03-04,18.25,-0.44589162320135484,-0.789040657335708,0.45702670373581983
2013-03-05,141.16666666666666,1.978744818384741,-0.3822311878687734,0.2631858464127707
2013-03-06,205.58333333333334,3.1850027998624033,-0.3818167957076965,0.4046788801864097
2013-03-07,248.0,3.2834814660126237,0.050678670350066686,0.3854418556513384
2013-03-08,209.95833333333334,2.4861485553812455,0.35041561354149325,0.6555974797022465
2013-03-09,51.75,1.0030263005959592,-0.3221839708910305,1.8112706071141156
2013-03-10,34.083333333333336,-0.23251059311928282,-0.9351840914601725,0.8045393102372471
2013-03-11,119.33333333333333,1.8653272126286915,-0.6009507900243263,0.9772333384882472
2013-03-12,117.70833333333333,0.5392734757271747,-0.1768292582001494,-0.45726244867782534
2013-03-13,14.666666666666666,-0.6798046779650547,-0.9781133225945813,0.47854012520967437
2013-03-14,93.58333333333333,0.8152971584074202,-0.8126174596618195,0.6550858377933015
2013-03-15,188.125,2.14116158204208,-0.38926487276825794,0.5187437158398698
2013-03-16,225.66666666666666,1.9546893981401754,-0.251468223476989,0.8850843148027518
2013-03-17,258.2083333333333,2.4372676864879996,0.4132296431208557,0.702468770497784
2013-03-18,70.08333333333333,0.10554450651302466,-0.2698824486796558,1.5040057026249796
2013-03-19,36.125,-0.6833136266504711,-0.4438020938432909,-0.1993666329466082
2013-03-20,52.0,-0.6296454343988184,-0.7343718656369748,0.04960148055432894
2013-03-21,142.70833333333334,0.498703429728071,-0.20395303933466855,-0.1618337593863395
2013-03-22,78.25,0.013491740876098978,-0.48859022957451576,0.5645392333334759
2013-03-23,47.958333333333336,-0.0666166271161369,-0.5519207835357727,0.36824326035402527
2013-03-24,15.791666666666666,-0.7778551291871688,-0.9216377672875238,0.6319257156385137
2013-03-25,95.70833333333333,0.4045151959510493,-0.6444926514887402,0.29386673980610584
2013-03-26,178.75,1.3870875784733852,-0.22878965474946047,0.4762621657929851
2013-03-27,85.375,-0.06259690011263415,-0.1927984801519248,0.8452594314775187
2013-03-28,24.875,-0.6723180776180887,-0.6647784643144327,0.4501233375961602
2013-03-29,69.125,0.27004255940001726,-0.5958853500071849,-0.016810106250497035
2013-03-30,74.125,0.5033794678759768,-0.5803342395313528,0.3963038336609877
2013-03-31,171.91666666666666,0.4656775817922299,-0.26753228932449813,-0.2476072162164412
2013-04-01,90.33333333333333,0.2539714028464489,-0.4554337425783073,0.9980849981751736
2013-04-02,97.16666666666667,0.4089423353540955,-0.22983716496238657,0.5249310342981686
2013-04-03,117.375,0.8664982459365924,0.041883291135072324,0.44129695978417455
2013-04-04,58.208333333333336,0.6727225425639195,-0.25755070409053527,0.022960869590484736
2013-04-05,60.5,-0.3729631679853212,-0.40899255459104533,0.2635576472397613
2013-04-06,10.833333333333334,-0.7060806697426084,-0.39305399877402114,-0.022257918428641332
2013-04-07,69.08333333333333,0.6676942415569506,0.03446279735429549,-0.2351602697468422
