date,actual,pred_sarimax,ci_low,ci_high,pred_rf,pred_xgb,pred_lstm_uni,pred_hybrid
2016-05-12,46.125,63.66719961646089,14.716729403631696,112.6176698292901,34.91940938273112,47.59966,137.60869,63.994612019529654
2016-05-13,32.291666666666664,46.781249462125416,-12.300367122555528,105.86286604680636,45.17206845288499,41.89378,44.082703,46.97704813391978
2016-05-14,41.958333333333336,34.03460008168981,-27.26150416809952,95.33070433147914,24.67012402898592,23.709644,50.015594,34.370312328605294
2016-05-15,36.041666666666664,32.35665069166501,-29.580302448012468,94.2936038313425,22.459206169867365,27.8641,56.360676,32.64163569199057
2016-05-16,22.5,53.61189945383338,-8.725742832975712,115.94954174064247,42.94304810907177,33.00057,52.113434,54.040524215253384
2016-05-17,60.75,103.23329811278357,40.49147725571597,165.97511896985117,75.54403384796115,74.222305,45.105053,103.79276984518744
2016-05-18,62.791666666666664,81.97950358442787,18.800520440304076,145.15848672855168,62.3053490617868,56.108433,70.10367,82.67303730026188
2016-05-19,90.79166666666667,98.18578144776532,34.917593292368075,161.45396960316256,77.47015293529648,69.82801,68.38288,99.0408459981397
2016-05-20,96.83333333333333,108.23072388575358,44.781750752848765,171.67969701865837,100.64837171595745,101.07117,84.28942,109.27486883338806
2016-05-21,81.25,87.86780748404973,24.11255150684096,151.6230634612585,96.74693631862846,89.36604,83.53932,88.74567306411647
2016-05-22,53.083333333333336,78.18154122621465,14.056068975266925,142.30701347716237,74.48940091158423,69.87046,72.11844,79.11312038242393
2016-05-23,68.625,91.95320234689537,27.442965032821547,156.4634396609692,67.89870121011435,65.21809,56.37986,93.0256367136703
2016-05-24,23.5,43.93949434384192,-20.95256501268978,108.83155370037363,24.20597949755064,21.76172,69.68652,44.979227056822076
2016-05-25,13.166666666666666,37.35944267054885,-27.90929781224458,102.62818315334229,19.617585050428897,16.717762,41.994564,38.45524304828285
2016-05-26,22.375,46.67443644200419,-19.007229981372816,112.3561028653812,23.78426237814429,18.178963,39.83529,47.54318161019399
2016-05-27,45.833333333333336,93.57506802921642,27.49667520735693,159.65346085107592,52.42551406169793,46.190956,47.687977,94.45016251068928
2016-05-28,43.541666666666664,82.10671487628537,15.647536852707631,148.56589289986312,52.50834854122303,51.43054,62.53072,82.98892543133184
2016-05-29,32.25,61.604540379771215,-5.227403286066213,128.43648404560864,44.5225050579762,42.733562,59.13167,62.49191647782764
2016-05-30,84.375,142.5309912388137,75.3297507578447,209.7322317197827,85.79876115128427,87.55999,51.572994,143.4227526676546
2016-05-31,45.5,80.54183617870333,12.973262382426498,148.11040997498017,72.21620901912662,73.10831,84.33721,81.43631489839844
2016-06-01,33.833333333333336,62.07520449520962,-5.8589587006342185,130.00936769105346,50.933893155322764,40.372746,54.30631,62.97108221613658
2016-06-02,47.041666666666664,86.7411523347703,18.4464821641306,155.03582250541,56.3103307912955,53.53173,49.73166,87.63737980600523
2016-06-03,88.875,135.60051339787088,66.94613848537048,204.25488831037129,92.48468979524476,92.251434,58.681732,136.49610862816448
2016-06-04,89.16666666666667,106.82818609864523,37.81487296248912,175.84149923480135,98.07910826988635,86.30103,83.47902,107.72222090448791
2016-06-05,79.375,96.14821525592427,26.777336587017672,165.51909392483088,94.19719204409252,99.29065,78.35984,97.04167162856533
2016-06-06,100.72916666666667,97.7797254198116,28.052998127218075,167.50645271240512,85.84025298765701,81.56043,70.7633,98.67238812829227
2016-06-07,66.95833333333333,68.62346182588246,-1.4573026477687137,138.70422629953362,51.57004386569324,49.25671,84.37611,69.51473898506619
2016-06-08,139.70833333333334,110.21649964847086,39.783497779246375,180.64950151769534,84.10817101019009,84.70784,61.422688,111.10675446060053
2016-06-09,117.75,113.58616179432931,42.802413962883904,184.3699096257747,105.18865693554731,93.63373,111.24017,114.4752462881208
2016-06-10,56.75,73.37011007995875,2.237437132174975,144.5027830277425,52.64596521017767,49.328766,87.93109,74.2593021892296
2016-06-11,11.833333333333334,37.961944903593256,-33.517857192761205,109.44174699994772,17.74852577225551,22.523806,54.431446,38.851204272538716
2016-06-12,71.66666666666667,88.81385500516815,16.988641908001156,160.63906810233516,42.62572988031272,33.907566,36.371113,89.70311437411361
2016-06-13,54.541666666666664,68.08237492499367,-4.086586250898307,140.25133610088565,48.25795935171485,40.82261,78.52626,68.97158048619944
2016-06-14,43.416666666666664,58.48606231303541,-14.02501776059048,130.9971423866613,22.347284867797562,23.444635,63.9062,59.37520061456658
2016-06-15,21.291666666666668,55.233956375546896,-17.617637676918505,128.0855504280123,22.23952492495891,19.493095,59.07243,56.12301396546853
2016-06-16,29.583333333333332,74.93592940422262,1.7454274373129408,148.1264313711323,31.667509231660084,36.06041,46.922485,75.82491973446965
2016-06-17,28.208333333333332,78.09605574290921,4.568200309064608,151.62391117675384,39.77708687434352,46.548096,54.18616,78.9849519096118
2016-06-18,46.916666666666664,92.34506719575842,18.48139129318831,166.2087430983285,55.78669086558397,57.89726,52.72416,93.23392300665623
